day,numTweets,y_test,y_predicted
881,16,1,1.0
882,12,1,1.0
883,10,1,1.0
884,13,1,1.0
885,17,1,-1.0
886,9,1,1.0
887,21,1,1.0
888,6,1,-1.0
889,11,1,1.0
891,16,1,1.0
892,14,-1,1.0
893,12,1,1.0
894,40,1,1.0
895,18,1,1.0
896,17,1,1.0
897,20,1,1.0
898,12,-1,1.0
899,10,-1,1.0
900,8,-1,1.0
901,11,1,1.0
903,66,1,1.0
904,21,-1,1.0
905,21,-1,-1.0
906,22,-1,-1.0
907,30,-1,1.0
908,14,1,1.0
909,3,1,-1.0
910,38,1,-1.0
911,6,-1,1.0
913,68,1,-1.0
914,26,1,1.0
915,29,-1,-1.0
916,16,-1,-1.0
917,8,-1,-1.0
918,10,-1,1.0
919,14,1,1.0
920,13,-1,1.0
921,18,-1,-1.0
922,19,-1,-1.0
923,16,-1,-1.0
924,34,-1,-1.0
925,14,-1,-1.0
926,27,-1,1.0
928,12,1,1.0
929,15,-1,-1.0
930,9,-1,1.0
931,7,-1,1.0
932,19,-1,-1.0
933,13,1,-1.0
934,22,1,1.0
935,14,1,-1.0
936,20,1,-1.0
937,5,1,1.0
938,14,1,-1.0
939,11,1,1.0
940,14,1,-1.0
941,13,-1,1.0
942,29,1,1.0
943,15,-1,-1.0
945,9,-1,1.0
946,36,1,1.0
947,13,1,1.0
948,34,1,1.0
949,22,1,1.0
950,9,-1,1.0
951,16,-1,1.0
952,15,-1,1.0
953,6,1,1.0
954,6,-1,1.0
955,17,1,-1.0
956,3,1,1.0
957,10,1,1.0
958,13,1,1.0
959,44,1,1.0
960,9,1,1.0
961,6,1,1.0
962,9,1,1.0
963,4,1,1.0
964,17,-1,-1.0
965,14,-1,1.0
966,18,-1,1.0
967,12,-1,1.0
968,31,1,1.0
969,18,1,-1.0
970,12,-1,1.0
971,9,1,1.0
972,14,1,1.0
973,19,1,1.0
974,31,1,1.0
975,51,-1,1.0
976,40,-1,1.0
977,30,1,1.0
978,18,-1,1.0
979,12,-1,-1.0
980,14,-1,-1.0
981,14,1,1.0
982,24,1,1.0
983,27,1,-1.0
984,10,-1,1.0
985,18,1,1.0
986,19,1,1.0
987,27,1,1.0
988,26,-1,-1.0
989,15,-1,1.0
990,11,-1,1.0
991,22,-1,-1.0
992,24,-1,1.0
993,25,-1,-1.0
994,19,-1,-1.0
995,13,-1,1.0
996,13,1,1.0
997,14,1,1.0
998,9,1,1.0
999,11,-1,1.0
1000,18,-1,-1.0
1001,20,-1,-1.0
1002,18,-1,-1.0
1003,9,1,1.0
1004,11,-1,1.0
1005,5,-1,1.0
1006,18,1,-1.0
1007,34,1,-1.0
1008,22,1,1.0
1009,32,1,1.0
1010,19,-1,-1.0
1011,32,1,-1.0
1012,14,-1,1.0
1013,18,-1,-1.0
1014,30,-1,-1.0
1015,24,-1,1.0
1016,12,1,1.0
1017,44,-1,1.0
1018,32,1,1.0
1019,35,1,1.0
1020,8,-1,1.0
1021,18,-1,-1.0
1022,15,-1,-1.0
1023,14,-1,-1.0
1024,21,-1,1.0
1025,60,1,1.0
1026,34,1,1.0
1027,32,-1,1.0
1028,21,-1,1.0
1029,24,-1,1.0
1030,29,-1,1.0
1031,24,-1,1.0
1032,24,1,1.0
1033,8,1,1.0
1034,35,-1,1.0
1035,26,-1,1.0
1036,31,-1,1.0
1037,22,-1,-1.0
1038,15,1,1.0
1039,18,-1,-1.0
1040,16,1,1.0
1041,31,-1,1.0
1043,37,-1,1.0
1044,6,1,1.0
1045,14,-1,1.0
1046,14,1,1.0
1047,15,-1,1.0
1048,11,-1,1.0
1049,16,-1,-1.0
1050,31,-1,-1.0
1051,47,1,1.0
1052,17,-1,-1.0
1053,17,-1,-1.0
1054,55,1,1.0
1055,29,1,1.0
1056,28,1,1.0
1057,22,1,1.0
1058,36,-1,-1.0
1059,32,-1,1.0
1060,40,1,1.0
1061,36,1,1.0
1062,25,1,1.0
1063,45,1,1.0
1064,45,1,1.0
1065,20,-1,-1.0
1066,45,1,1.0
1067,24,-1,1.0
1068,22,1,1.0
1069,28,-1,1.0
1070,14,-1,1.0
1071,22,-1,1.0
1072,30,1,1.0
1073,18,-1,-1.0
1074,46,1,1.0
1075,17,1,1.0
1076,15,1,1.0
1077,39,1,1.0
1078,42,1,1.0
1079,13,1,1.0
1080,40,-1,1.0
1081,32,1,1.0
1082,5,1,1.0
1083,13,1,1.0
1084,47,1,1.0
1085,31,1,1.0
1086,35,1,1.0
1087,34,1,1.0
1088,32,-1,1.0
1089,19,1,-1.0
1090,34,1,1.0
1091,40,1,1.0
1092,22,1,1.0
1093,17,-1,-1.0
1094,4,1,1.0
1095,40,1,1.0
1096,45,-1,1.0
1097,32,1,1.0
1098,3,1,-1.0
