day,y_test,y_predicted
881,1,1.0
883,1,1.0
884,1,1.0
885,1,1.0
886,1,1.0
887,1,1.0
891,1,1.0
892,-1,1.0
894,1,1.0
897,1,1.0
898,-1,1.0
899,-1,1.0
901,1,1.0
903,1,1.0
907,-1,1.0
913,1,1.0
915,-1,1.0
916,-1,-1.0
917,-1,-1.0
923,-1,-1.0
925,-1,-1.0
929,-1,-1.0
932,-1,-1.0
936,1,1.0
939,1,1.0
940,1,1.0
941,-1,1.0
942,1,1.0
943,-1,1.0
946,1,1.0
947,1,1.0
948,1,1.0
949,1,1.0
950,-1,1.0
951,-1,1.0
952,-1,1.0
954,-1,1.0
955,1,1.0
956,1,1.0
957,1,1.0
959,1,1.0
960,1,1.0
962,1,1.0
964,-1,1.0
967,-1,1.0
968,1,1.0
969,1,1.0
970,-1,1.0
971,1,1.0
974,1,1.0
975,-1,1.0
976,-1,1.0
977,1,1.0
982,1,1.0
988,-1,1.0
997,1,-1.0
1017,-1,1.0
1018,1,1.0
1019,1,1.0
1025,1,1.0
1026,1,1.0
1027,-1,1.0
1030,-1,1.0
1031,-1,1.0
1032,1,1.0
1033,1,1.0
1034,-1,1.0
1037,-1,1.0
1040,1,1.0
1041,-1,1.0
1046,1,1.0
1051,1,1.0
1054,1,1.0
1055,1,1.0
1058,-1,1.0
1059,-1,1.0
1060,1,1.0
1061,1,1.0
1063,1,1.0
1064,1,1.0
1065,-1,1.0
1066,1,1.0
1069,-1,1.0
1074,1,1.0
1078,1,1.0
1080,-1,1.0
1081,1,1.0
1083,1,1.0
1084,1,1.0
1086,1,1.0
1087,1,1.0
1090,1,1.0
1095,1,1.0
1096,-1,1.0
1098,1,-1.0
